player_name,team_name,passes,pass_danger,team_pass_avg,player_vs_team
Ousmane Dembélé,Barcelona,255,0.10972187631795567,0.05802627110866752,1.8909000048008644
Lionel Andrés Messi Cuccittini,Barcelona,1137,0.1052476362487218,0.05802627110866752,1.8137928603342688
Luis Alberto Suárez Díaz,Barcelona,538,0.10334977138331598,0.05802627110866752,1.7810858669475729
Philippe Coutinho Correia,Barcelona,479,0.0938791938949404,0.05802627110866752,1.6178739750333095
Denis Suárez Fernández,Barcelona,169,0.09106381337326863,0.05802627110866752,1.569354908274749
Andrés Iniesta Luján,Barcelona,799,0.07514238046855194,0.05802627110866752,1.294971726303601
Sergi Roberto Carnicer,Barcelona,968,0.06236982848200727,0.05802627110866752,1.0748550146399283
Jordi Alba Ramos,Barcelona,1174,0.06098682530657458,0.05802627110866752,1.0510209279580063
José Paulo Bezzera Maciel Júnior,Barcelona,767,0.057170932130350495,0.05802627110866752,0.985259452968894
Lucas Digne,Barcelona,251,0.05446969928375579,0.05802627110866752,0.9387075585427292
André Filipe Tavares Gomes,Barcelona,169,0.054328985351914834,0.05802627110866752,0.9362825546754734
Ivan Rakitić,Barcelona,1257,0.05383053233820807,0.05802627110866752,0.927692428096888
Nélson Cabral Semedo,Barcelona,664,0.05351565557541272,0.05802627110866752,0.9222659763056696
Sergio Busquets i Burgos,Barcelona,1149,0.043905603574970094,0.05802627110866752,0.7566504401557489
Samuel Yves Umtiti,Barcelona,816,0.026952201548626,0.05802627110866752,0.46448274262104167
Javier Alejandro Mascherano,Barcelona,270,0.025863235316570254,0.05802627110866752,0.4457159631735668
Thomas Vermaelen,Barcelona,377,0.023919683601943947,0.05802627110866752,0.41222162211920954
Gerard Piqué Bernabéu,Barcelona,978,0.022952435144147264,0.05802627110866752,0.39555247486373124
Marc-André ter Stegen,Barcelona,676,0.0054359665501772046,0.05802627110866752,0.09368112832887554
